Test Case ID|TC title|TC description|TC purpose|Scenario ID|Disabilities|AT|User Agent|User Guidance|Question|Question Type
sc1.1.1_l1_006|Alt attribute for images: image with empty alt attribute in link with link text|A document containing a link with an image and text. The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but the link text describes the target of the link.|This test case is intended to pass because the text alternative immediately follows the image. (The accessibility of the target of the link is not part of this test case.)|s01|blindness,low vision,|screenreader(exp=1),(version=);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_006|Alt attribute for images: image with empty alt attribute in link with link text|A document containing a link with an image and text. The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but the link text describes the target of the link.|This test case is intended to pass because the text alternative immediately follows the image. (The accessibility of the target of the link is not part of this test case.)|s02|dyslexia,|screenreader with magnification(exp=1),(version=);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_006|Alt attribute for images: image with empty alt attribute in link with link text|A document containing a link with an image and text. The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but the link text describes the target of the link.|This test case is intended to pass because the text alternative immediately follows the image. (The accessibility of the target of the link is not part of this test case.)|s03|low vision,|screenreader with magnification(exp=1),(version=);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_006|Alt attribute for images: image with empty alt attribute in link with link text|A document containing a link with an image and text. The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but the link text describes the target of the link.|This test case is intended to pass because the text alternative immediately follows the image. (The accessibility of the target of the link is not part of this test case.)|s04|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_009|Alternative text for image in image map: text preceding image map describes the image|A document with a client-side image map; the image represents a traffic light. The alt attribute of the img is empty, but the text immediately above the image identifies the image and conveys the same information.|This test case is intended to pass because there is text above the image that identifies it and conveys the same information. Only the image itself is tested, not the image map.|s01|blindness,low vision,|screenreader(exp=1),(version=);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_009|Alternative text for image in image map: text preceding image map describes the image|A document with a client-side image map; the image represents a traffic light. The alt attribute of the img is empty, but the text immediately above the image identifies the image and conveys the same information.|This test case is intended to pass because there is text above the image that identifies it and conveys the same information. Only the image itself is tested, not the image map.|s02|blindness,low vision,|screenreader with magnification(exp=2),(version=0);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_009|Alternative text for image in image map: text preceding image map describes the image|A document with a client-side image map; the image represents a traffic light. The alt attribute of the img is empty, but the text immediately above the image identifies the image and conveys the same information.|This test case is intended to pass because there is text above the image that identifies it and conveys the same information. Only the image itself is tested, not the image map.|s03|blindness,low vision,|screenreader(exp=2),(version=0);Braille display(exp=2),(version=0);|browser(exp=1),(version=);||Did you understand what was in the image?|yesNoOpenQuestion|
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s01|blindness,low vision,|screenreader(exp=2),(version=);|browser(exp=1),Microsoft Internet Explorer(version=5);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s02|blindness,low vision,|screenreader(exp=2),(version=);|browser(exp=1),Microsoft Internet Explorer(version=5.5);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
sc1.1.1_l1_011|Alternative text for object with image and image map|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|This test case is intended to pass because the image has an appropriate text alternative in the img element that serves as a fallback for the object element. However, browser support for the object element may determine if this test case is accessible or not. Internet Explorer (version 6 or earlier) has weak or no support for the object element. Only the image itself is tested, not the image map.|s03|blindness,low vision,|screenreader(exp=2),(version=);|browser(exp=1),Microsoft Internet Explorer(version=6);||Did you understand what was in the image on the page?|yesNoOpenQuestion|
