Test Case ID|Scenario ID|Scenario name|has userGuidance|Is translated|blindness|colour vision deficiency|low vision|deafness|hard of hearing|dyslexia|dyscalculus|intellectual disability|dexterity impairment|motor impairment|no disability|learning disability|functional illiteracy|ADHD|aphasia|deaf-blindness|speech impairment
sc1.1.1_l1_006|s01|Scenario s01 blind1|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_006|s02|Scenario s02 dyslexic1|No|Yes|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_006|s03|Scenario s03 lovis1|No|Yes|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_006|s04|Scenario s04 blind braille1|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_009|s01|Scenario s01 blind speech1|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_009|s02|Scenario s02 sc+ mag1|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_009|s03|Scenario s03 blind braille1|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s01|Scenario s01 blind speech ie501|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s02|Scenario s02 blind speech ie551|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s03|Scenario s03 blind speech ie601|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s04|Scenario s04 blind braille ie501|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s05|Scenario s05 blind braille ie551|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_011|s06|Scenario s06 blind braille ie601|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
sc1.1.1_l1_012|s01|Scenario s01 blind speech IE51|No|Yes|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
