Test Case ID|TC Author|Desc of TC|Expected outcome|Status|Test Mode|Scenarios|
sc1.1.1_l1_001|Christophe.Strobbe|A document containing a single image of a cat included by means of an img element without an alt attribute.|fail|accepted QA|automatic|0|
sc1.1.1_l1_002|Christophe.Strobbe|A document with an img element that displays a cat. The img element has an alt attribute that identifes the image and conveys the same information as the image (“A black and white cat named Harrison”?).|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_003|Christophe.Strobbe|A document with an img element that displays a cat. The img element has an alt attribute that duplicates the src attribute with the URI to the image instead of an appriopriate text alternative.|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_004|Christophe.Strobbe|A document with an img element that displays a cat. The image has as text alternative (in the alt attribute): “A black and white elephant named Harrison".|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_005|Christophe.Strobbe|A document with image link (an image used as a link): the image is a thumbnail for a larger image; this larger image is the destination of the link. The img element has a (correct) alt attribute that conveys the same information as the image and identifies the destination of the link. (Neither the link nor the image have a title attribute.)|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_006|Christophe.Strobbe|A document containing a link with an image and text. The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but the link text describes the target of the link.|pass|accepted for end user evaluation|oneExpert|4|
sc1.1.1_l1_007|Christophe.Strobbe|A document that contains an img element with an empty alt attribute The image itself does not contain text and has an empty alt attribute (the attribute is present, but there is no text or white space between the double quotation marks), but with a text alternative above the image.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_008|Christophe.Strobbe|A document with a client-side image map; the image represents a traffic light. The alt attribute of the img element conveys the same information as the overall image ("traffic light: red at the top, orange in the middle and green at the bottom").|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_009|Christophe.Strobbe|A document with a client-side image map; the image represents a traffic light. The alt attribute of the img is empty, but the text immediately above the image identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|oneExpert|3|
sc1.1.1_l1_010|Christophe.Strobbe|A document with a client-side image map; the image represents a traffic light. The img element has an alt attribute that duplicates the src attribute with the URI to the image instead of an appriopriate text alternative.|fail|accepted QA|automatic|0|
sc1.1.1_l1_011|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|cannotTell|accepted for end user evaluation|oneExpert|6|
sc1.1.1_l1_012|Christophe.Strobbe|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|cannotTell|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_013|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|cannotTell|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_014|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element.|cannotTell|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_015|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains only the image map. The object elements do not have a title attribute or any other text alternative except the alt attributes of the map's area elements.|cannotTell|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_016|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains the image map and a text alternative that identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_017|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attribute of one of the map's area elements is empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_018|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. However, the alt attributes of the map's area elements are all empty. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_019|Christophe.Strobbe|A document with an object element in an image map, where the image map code is inside the object element. The object element embeds an image in PNG format, and contains an img element with the GIF version of the same image. The alt attribute of the img element identifies the image and conveys the same information. The object element does not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_020|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_021|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains an img element with the same GIF image, and the image map. The alt attribute of the img element identifies the image and conveys the same information. The object elements do not have a title attribute or any other text alternative except the alt attribute of the img element. Most importantly, the alt attributes of the image map's area elements are empty.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_022|Christophe.Strobbe|A document with an object element in an image map. The object element embeds an image in PNG format, and contains another object element that embeds the GIF version of the same image. This second object element contains only the image map. The object elements do not have a title attribute or any other text alternative except the alt attributes of the map's area elements. Most importantly, the alt attributes of the image map's area elements are empty.|fail|accepted for end user evaluation|oneExpert|9|
sc1.1.1_l1_023|Christophe.Strobbe|A document with an image map: the alt attribute of the img element identifies the image and conveys the same information, but the alt attributes of the image map's area elements are empty.|fail|accepted QA|automatic|0|
sc1.1.1_l1_024|Christophe.Strobbe|A document with an image map: the alt attribute of the img element is empty; the alt attributes of the image map's area elements are also empty.|fail|accepted QA|automatic|0|
sc1.1.1_l1_025|Christophe.Strobbe|A document with a client-side image map; the image represents a traffic light. The img element has an alt attribute that duplicates the src attribute with the URI to the image instead of an appriopriate text alternative. The alt attributes of the image map's area elements are empty (the alt attributes are present, but there is no text or white space between the double quotation marks).|fail|accepted QA|automatic|0|
sc1.1.1_l1_026|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The img element has an alt attribute, a title attribute and a longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. The longdesc attribute refers to a section inside the same page that identifies the image and conveys the same information.|pass|accepted for end user evaluation|experts|2|
sc1.1.1_l1_027|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The img element has an alt attribute, a title attribute and a longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. The longdesc attribute refers to a separate HTML page that identifies the image and conveys the same information.|pass|accepted for end user evaluation|experts|4|
sc1.1.1_l1_028|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The document contains an object element that embeds the map in GIF format; inside the object element is an img element that embeds the same map in JPEG format. The img element has an alt attribute, a title attribute and a longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. The longdesc attribute refers to a section inside the same page that identifies the image and conveys the same information.|pass|accepted for end user evaluation|experts|4|
sc1.1.1_l1_029|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The document contains an object element that embeds the map in GIF format; inside the object element is an img element that embeds the same map in JPEG format. The img element has an alt attribute, a title attribute and a longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. The longdesc attribute refers to a section inside the object element that identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|experts|4|
sc1.1.1_l1_030|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The document contains an object element that embeds the map in GIF format; inside the object element is an img element that embeds the same map in JPEG format. The img element has an alt attribute, a title attribute but no longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. There is a long description inside the object element that identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|experts|4|
sc1.1.1_l1_031|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The document contains an object element that embeds the map in GIF format; inside the object element is an img element that embeds the same map in JPEG format. The img element has an alt attribute, a title attribute and a longdesc attribute. The alt attribute identifies the image but the image is too complex to be described in an attribute. The longdesc attribute refers to a separate HTML page that identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|experts|4|
sc1.1.1_l1_032|Christophe.Strobbe|A document with an image that represents a map of the Mediterranean in 180 AD. The document contains an object element that embeds the map in GIF format. The object element has a title attribute that identifies the image, but the image is too complex to be described in an attribute. Inside the object element is a long description that identifies the image and conveys the same information.|cannotTell|accepted for end user evaluation|experts|4|
sc1.1.1_l1_033|Christophe.Strobbe|A document with the fictitious Acme corporation logo. The alt attribute of the img element says: "Acme corporation logo".|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_034|Christophe.Strobbe|A document with the BenToWeb Working Draft logo. The alt attribute of the img element says: "BenToWeb Working Draft logo".|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_035|Christophe.Strobbe|A document with the BenToWeb Working Draft logo. The alt attribute of the img element says: "logo".|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_036|Christophe.Strobbe|A document with an image map that contains two areas with links to another file. Both area elements have an alt attribute that conveys the same information as the area. The second area/link refers to an MP3 file, but the file has no transcript.|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_037|Christophe.Strobbe|A document with an image map that contains two areas with links to another file. Both area elements have an alt attribute that conveys the same information as the area. The second area/link refers to an MP3 file; below the image map is a link to a transcript.|pass|accepted QA|experts|0|
sc1.1.1_l1_038|Christophe.Strobbe|A document with ASCII art (treated by WCAG 2.0 as non-text content), which requires a text alternative. The ASCII art explains the components of a URI. The ASCII illustrates the text in the paragraph above it.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_039|Christophe.Strobbe|A document with ASCII art (treated by WCAG 2.0 as non-text content), which requires a text alternative. The ASCII art explains the components of a URI, but there is no text that describes the ASCII.|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_040|Christophe.Strobbe|A document with a form that uses an image button for form submission. The alt attribute of the input element contains the word "submit" instead of the words in the image ("Find Dogs").|fail|accepted QA|oneExpert|0|
sc1.1.1_l1_041|Christophe.Strobbe|A document with a form that uses an image button for form submission. The alt attribute of the input element is missing, so there is no text alternative for the image.|fail|accepted QA|automatic|0|
sc1.1.1_l1_042|Christophe.Strobbe|A document with a form that uses an image button for form submission. The alt attribute of the input element is contains the words that are in the image.|pass|accepted QA|oneExpert|0|
sc1.1.1_l1_043|Christophe.Strobbe|A document with an image map. The image map has two areas (area elements), corresponding to two phrases in the image: one for the text "Reference" (top half of image) and one for the text "Audio Visual Lab" (bottom half). The alt attribute for the area at the bottom reads "Lab" instead of "Audio Visual Lab".|fail|accepted QA|oneExpert|0|
